SubjectName;TrialID;TrialSequence;CountInTrial;StartTime;Duration;Distance;Velocity;Validity;SubjectCategory;Age;Sex;Handedness;Trial Name;Saccade Target AOI;AOI group
S3001;0;0;1;350;36;743,1949;20,6443;0;;;;;KF_001.jpg;lkf1;logo
S3001;0;0;2;552;10;71,97677;7,197677;0;;;;;KF_001.jpg;lkf1;logo
S3001;0;0;3;784;10;124,5703;12,45703;0;;;;;KF_001.jpg;lkf1;logo
S3001;0;0;4;894;332;1111,122;3,346752;-1;;;;;KF_001.jpg;nowhere;nowhere
S3001;0;0;5;1364;80;74,90322;0,9362903;0;;;;;KF_001.jpg;nowhere;nowhere
S3001;0;0;6;1580;292;783,0453;2,681662;-1;;;;;KF_001.jpg;fkf01;face
S3001;0;0;7;2354;2;26,11076;13,05538;0;;;;;KF_001.jpg;fkf01;face
S3001;0;0;8;2462;30;444,2463;14,80821;0;;;;;KF_001.jpg;nowhere;nowhere
S3001;0;0;9;2832;254;556,973;2,192807;0;;;;;KF_001.jpg;nowhere;nowhere
S3001;0;0;10;3276;2;29,92718;14,96359;0;;;;;KF_001.jpg;nowhere;nowhere
S3001;0;0;11;3378;10;84,18553;8,418553;0;;;;;KF_001.jpg;nowhere;nowhere
S3001;0;0;12;3614;2;27,66438;13,83219;0;;;;;KF_001.jpg;nowhere;nowhere
S3001;0;0;13;3852;2;33,61129;16,80565;0;;;;;KF_001.jpg;nowhere;nowhere
S3001;1;1;1;402;44;214,7969;4,881747;0;;;;;KF_002.jpg;lkf2;logo
S3001;1;1;2;656;320;1427,007;4,459397;-1;;;;;KF_002.jpg;nowhere;nowhere
S3001;1;1;3;1540;238;1342,763;5,64186;0;;;;;KF_002.jpg;lkf2;logo
S3001;1;1;4;2098;2;30,15306;15,07653;0;;;;;KF_002.jpg;lkf2;logo
S3001;1;1;5;2284;62;1290,493;20,8144;0;;;;;KF_002.jpg;nowhere;nowhere
S3001;1;1;6;2472;458;170,4774;0,3722213;-1;;;;;KF_002.jpg;nowhere;nowhere
S3001;1;1;7;3158;2;20,25017;10,12508;0;;;;;KF_002.jpg;nowhere;nowhere
S3001;1;1;8;3396;506;524,7763;1,037107;-1;;;;;KF_002.jpg;fkf2;face
S3001;2;2;1;192;24;391,8226;16,32594;0;;;;;KF_003.jpg;fkf3;face
S3001;2;2;2;378;38;940,5392;24,75103;0;;;;;KF_003.jpg;nowhere;nowhere
S3001;2;2;3;630;10;100,4928;10,04928;0;;;;;KF_003.jpg;lkf3;logo
S3001;2;2;4;788;28;478,7252;17,09733;0;;;;;KF_003.jpg;nowhere;nowhere
S3001;2;2;5;976;24;359,9838;14,99932;0;;;;;KF_003.jpg;nowhere;nowhere
S3001;2;2;6;1220;6;82,64952;13,77492;0;;;;;KF_003.jpg;nowhere;nowhere
S3001;2;2;7;1436;2;28,93052;14,46526;0;;;;;KF_003.jpg;nowhere;nowhere
S3001;2;2;8;1808;16;153,3022;9,581387;0;;;;;KF_003.jpg;nowhere;nowhere
S3001;2;2;9;2056;956;678,5178;0,7097467;-1;;;;;KF_003.jpg;fkf3;face
S3001;2;2;10;3180;2;43,18582;21,59291;0;;;;;KF_003.jpg;fkf3;face
S3001;2;2;11;3446;74;45,13618;0,6099485;0;;;;;KF_003.jpg;fkf3;face
S3001;3;3;1;368;40;320,0524;8,001309;0;;;;;KF_004.jpg;lkf4;logo
S3001;3;3;2;784;10;124,0722;12,40722;0;;;;;KF_004.jpg;lkf4;logo
S3001;3;3;3;942;22;416,9442;18,95201;0;;;;;KF_004.jpg;lkf4;logo
S3001;3;3;4;1072;82;515,0654;6,281286;0;;;;;KF_004.jpg;fkf4;face
S3001;3;3;5;1344;10;66,07169;6,607169;0;;;;;KF_004.jpg;fkf4;face
S3001;3;3;6;1508;32;510,3996;15,94999;0;;;;;KF_004.jpg;nowhere;nowhere
S3001;3;3;7;1828;10;88,24433;8,824433;0;;;;;KF_004.jpg;nowhere;nowhere
S3001;3;3;8;2198;26;281,6693;10,83344;0;;;;;KF_004.jpg;nowhere;nowhere
S3001;3;3;9;2382;2;24,03624;12,01812;0;;;;;KF_004.jpg;nowhere;nowhere
S3001;3;3;10;2868;198;174,8083;0,88287;0;;;;;KF_004.jpg;nowhere;nowhere
S3001;3;3;11;3154;2;36,54059;18,2703;0;;;;;KF_004.jpg;nowhere;nowhere
S3001;3;3;12;3372;14;114,3599;8,168568;0;;;;;KF_004.jpg;nowhere;nowhere
S3001;3;3;13;3558;2;40,77044;20,38522;0;;;;;KF_004.jpg;nowhere;nowhere
S3001;3;3;14;3788;2;25,24696;12,62348;0;;;;;KF_004.jpg;nowhere;nowhere
S3001;4;4;1;294;26;526,9486;20,26725;0;;;;;KF_005.jpg;lkf5;logo
S3001;4;4;2;414;262;752,6071;2,872546;-1;;;;;KF_005.jpg;nowhere;nowhere
S3001;4;4;3;778;2;67,57817;33,78909;0;;;;;KF_005.jpg;fkf5;face
S3001;4;4;4;1614;22;65,68637;2,985744;0;;;;;KF_005.jpg;fkf5;face
S3001;4;4;5;1888;2;47,21831;23,60916;0;;;;;KF_005.jpg;fkf5;face
S3001;4;4;6;2092;10;66,89429;6,689429;0;;;;;KF_005.jpg;fkf5;face
S3001;4;4;7;2264;30;487,0279;16,23426;0;;;;;KF_005.jpg;nowhere;nowhere
S3001;4;4;8;2610;208;614,2747;2,953244;0;;;;;KF_005.jpg;fkf5;face
S3001;4;4;9;3070;2;35,19617;17,59809;0;;;;;KF_005.jpg;fkf5;face
