# File: fullaoidata.txt
# Created: 6. huhtikuuta 2017,16:45:34
# with: OGAMA Version: 5.0.5614
# Contents: Areas of interest table.
# Applies to Projekt:Experiment1
#
ID	TrialID	SlideNr	ShapeName	ShapeType	ShapeNumPts	ShapePts	ShapeGroup	AOI Area Size %	
1	0	0	lkf1	Rectangle	4	P0:(81.9;690.3) P1:(429.4;690.3) P2:(429.4;1034.6) P3:(81.9;1034.6) 	 	5,76988	
2	3	0	lkf4	Rectangle	4	P0:(881.7;330.3) P1:(1496.9;330.3) P2:(1496.9;529.0) P3:(881.7;529.0) 	 	5,895074	
3	3	0	fkf4	Rectangle	4	P0:(160.2;23.5) P1:(651.7;23.5) P2:(651.7;430.4) P3:(160.2;430.4) 	 	9,644645	
4	4	0	lkf5	Rectangle	4	P0:(1160.3;792.0) P1:(1689.4;792.0) P2:(1689.4;1091.0) P3:(1160.3;1091.0) 	 	7,629287	
5	4	0	fkf5	Rectangle	4	P0:(659.5;43.8) P1:(1157.2;43.8) P2:(1157.2;482.1) P3:(659.5;482.1) 	 	10,51996	
6	5	0	lkf6	Rectangle	4	P0:(1531.3;771.7) P1:(1863.1;771.7) P2:(1863.1;1050.3) P3:(1531.3;1050.3) 	 	4,457922	
7	0	0	fkf01	Rectangle	4	P0:(837.9;12.5) P1:(1121.2;12.5) P2:(1121.2;330.3) P3:(837.9;330.3) 	 	4,341855	
8	5	0	fkf006	Rectangle	4	P0:(526.4;15.7) P1:(715.8;15.7) P2:(715.8;286.4) P3:(526.4;286.4) 	 	2,472539	
9	12	0	lkf13	Rectangle	4	P0:(24.0;7.8) P1:(776.9;7.8) P2:(776.9;175.3) P3:(24.0;175.3) 	 	6,08173	
10	12	0	fkf13	Rectangle	4	P0:(961.6;7.8) P1:(1636.2;7.8) P2:(1636.2;668.3) P3:(961.6;668.3) 	 	21,48791	
11	20	0	lkf21	Rectangle	4	P0:(52.2;59.5) P1:(776.9;59.5) P2:(776.9;212.9) P3:(52.2;212.9) 	 	5,361158	
12	20	0	fkf21	Rectangle	4	P0:(1481.2;93.9) P1:(1659.7;93.9) P2:(1659.7;372.5) P3:(1481.2;372.5) 	 	2,398249	
