SubjectName	TrialID	TrialSequence	CountInTrial	StartTime	Duration	Distance	Velocity	Validity	SubjectCategory	Age	Sex	Handedness	Comments	Trial Name	Trial Category	SlideNr	Saccade Target AOI	Saccade Target AOI group	
S1602	0	0	1	410	12	80,15634	6,679695	0						KF_001.jpg		0	nowhere	nowhere	
S1602	0	0	2	828	20	337,1549	16,85775	0						KF_001.jpg		0	fkf01	nowhere	
S1602	0	0	3	1048	2	35,52144	17,76072	0						KF_001.jpg		0	fkf01	nowhere	
S1602	0	0	4	1280	22	297,4056	13,51844	0						KF_001.jpg		0	nowhere	nowhere	
S1602	0	0	5	1504	66	890,9958	13,49994	0						KF_001.jpg		0	lkf1	nowhere	
S1602	0	0	6	1740	8	59,90092	7,487615	0						KF_001.jpg		0	lkf1	nowhere	
S1602	0	0	7	1914	10	79,55164	7,955163	0						KF_001.jpg		0	lkf1	nowhere	
S1602	0	0	8	2156	10	118,9512	11,89512	0						KF_001.jpg		0	lkf1	nowhere	
S1602	0	0	9	2320	76	953,1024	12,54082	0						KF_001.jpg		0	nowhere	nowhere	
S1602	0	0	10	2576	10	87,48981	8,748981	0						KF_001.jpg		0	nowhere	nowhere	
S1602	0	0	11	2726	10	91,54528	9,154528	0						KF_001.jpg		0	nowhere	nowhere	
S1602	0	0	12	3040	2	46,18704	23,09352	0						KF_001.jpg		0	nowhere	nowhere	
S1602	0	0	13	3646	24	66,17619	2,757341	0						KF_001.jpg		0	nowhere	nowhere	
S1602	1	1	1	176	40	729,1413	18,22853	0						KF_002.jpg		0	fkf2	nowhere	
S1602	1	1	2	336	2	54,79225	27,39612	0						KF_002.jpg		0	nowhere	nowhere	
S1602	1	1	3	694	54	1384,908	25,64645	0						KF_002.jpg		0	lkf2	nowhere	
S1602	1	1	4	896	10	129,5271	12,95271	0						KF_002.jpg		0	lkf2	nowhere	
S1602	1	1	5	2146	62	163,803	2,641984	0						KF_002.jpg		0	nowhere	nowhere	
S1602	1	1	6	2332	52	1264,039	24,30845	0						KF_002.jpg		0	nowhere	nowhere	
S1602	1	1	7	2514	10	110,0673	11,00673	0						KF_002.jpg		0	nowhere	nowhere	
S1602	1	1	8	2754	14	162,1253	11,58038	0						KF_002.jpg		0	fkf2	nowhere	
S1602	1	1	9	3116	8	52,68069	6,585087	0						KF_002.jpg		0	fkf2	nowhere	
S1602	1	1	10	3372	24	326,0404	13,58502	0						KF_002.jpg		0	nowhere	nowhere	
S1602	1	1	11	3850	50	1173,599	23,47198	0						KF_002.jpg		0	lkf2	nowhere	
S1602	2	2	1	158	18	182,3927	10,13293	0						KF_003.jpg		0	fkf3	nowhere	
S1602	2	2	2	326	8	96,47172	12,05896	0						KF_003.jpg		0	fkf3	nowhere	
S1602	2	2	3	502	2	26,92602	13,46301	0						KF_003.jpg		0	fkf3	nowhere	
S1602	2	2	4	802	54	1078,328	19,96904	0						KF_003.jpg		0	lkf3	nowhere	
S1602	2	2	5	1074	2	30,72844	15,36422	0						KF_003.jpg		0	nowhere	nowhere	
S1602	2	2	6	1188	34	473,0105	13,91207	0						KF_003.jpg		0	nowhere	nowhere	
S1602	2	2	7	1598	28	188,6872	6,738828	0						KF_003.jpg		0	nowhere	nowhere	
S1602	2	2	8	1790	52	330,9654	6,364719	0						KF_003.jpg		0	nowhere	nowhere	
S1602	2	2	9	2226	150	187,5777	1,250518	0						KF_003.jpg		0	nowhere	nowhere	
S1602	2	2	10	2878	42	673,6734	16,03984	0						KF_003.jpg		0	fkf3	nowhere	
S1602	2	2	11	3042	34	215,5163	6,338714	0						KF_003.jpg		0	fkf3	nowhere	
S1602	2	2	12	3214	10	72,31704	7,231704	0						KF_003.jpg		0	fkf3	nowhere	
S1602	2	2	13	3622	26	381,9865	14,69179	0						KF_003.jpg		0	nowhere	nowhere	
S1602	3	3	1	260	60	517,2192	8,62032	0						KF_004.jpg		0	nowhere	nowhere	
S1602	3	3	2	432	14	216,6394	15,47424	0						KF_004.jpg		0	lkf4	nowhere	
S1602	3	3	3	584	54	469,6989	8,698128	0						KF_004.jpg		0	fkf4	nowhere	
S1602	3	3	4	832	2	25,98085	12,99042	0						KF_004.jpg		0	fkf4	nowhere	
S1602	3	3	5	1252	62	627,4267	10,11979	0						KF_004.jpg		0	lkf4	nowhere	
S1602	3	3	6	1520	10	94,45538	9,445538	0						KF_004.jpg		0	lkf4	nowhere	
S1602	3	3	7	1900	62	740,267	11,93979	0						KF_004.jpg		0	nowhere	nowhere	
S1602	3	3	8	2118	24	70,52824	2,938677	0						KF_004.jpg		0	nowhere	nowhere	
S1602	3	3	9	2380	16	165,1557	10,32223	0						KF_004.jpg		0	nowhere	nowhere	
S1602	3	3	10	2594	2	23,75367	11,87683	0						KF_004.jpg		0	nowhere	nowhere	
S1602	3	3	11	2864	72	884,8104	12,28903	0						KF_004.jpg		0	fkf4	nowhere	
S1602	3	3	12	3062	2	34,178	17,089	0						KF_004.jpg		0	fkf4	nowhere	
S1602	3	3	13	3290	10	106,6427	10,66427	0						KF_004.jpg		0	fkf4	nowhere	
S1602	3	3	14	3520	154	668,4773	4,340762	0						KF_004.jpg		0	nowhere	nowhere	
S1602	3	3	15	3864	16	162,5852	10,16158	0						KF_004.jpg		0	nowhere	nowhere	
S1602	4	4	1	496	2	41,1944	20,5972	0						KF_005.jpg		0	fkf5	nowhere	
S1602	4	4	2	758	38	766,8768	20,18097	0						KF_005.jpg		0	nowhere	nowhere	
