# File: saccades0102.txt
# Created: 23. maaliskuuta 2017,8:34:52
# with: OGAMA Version: 5.0.5614
# Contents: GazeFixations table.
# Applies to Projekt:shiiiboi
#
SubjectName	TrialID	TrialSequence	CountInTrial	StartTime	Duration	Distance	Velocity	Validity	SubjectCategory	Age	Sex	Handedness	Comments	Trial Name	Trial Category	SlideNr	Saccade Target AOI	Saccade Target AOI group	
S0102	0	0	1	176	26	278,5218	10,71238	0						KF_001.jpg		0	fkf01	nowhere	
S0102	0	0	2	350	46	763,3998	16,59565	0						KF_001.jpg		0	lkf1	nowhere	
S0102	0	0	3	532	20	238,6492	11,93246	0						KF_001.jpg		0	lkf1	nowhere	
S0102	0	0	4	710	8	98,11817	12,26477	0						KF_001.jpg		0	nowhere	nowhere	
S0102	0	0	5	960	2	39,77884	19,88942	0						KF_001.jpg		0	lkf1	nowhere	
S0102	0	0	6	1102	220	1294,717	5,885077	-1						KF_001.jpg		0	nowhere	nowhere	
S0102	0	0	7	1580	80	37,89571	0,4736963	0						KF_001.jpg		0	nowhere	nowhere	
S0102	0	0	8	1762	2	40,78642	20,39321	0						KF_001.jpg		0	nowhere	nowhere	
S0102	0	0	9	1988	172	389,1587	2,262551	0						KF_001.jpg		0	nowhere	nowhere	
S0102	0	0	10	2334	36	605,0268	16,8063	0						KF_001.jpg		0	fkf01	nowhere	
S0102	0	0	11	2536	32	66,56904	2,080282	0						KF_001.jpg		0	fkf01	nowhere	
S0102	0	0	12	2776	30	303,8889	10,12963	0						KF_001.jpg		0	nowhere	nowhere	
S0102	0	0	13	3026	10	77,82458	7,782458	0						KF_001.jpg		0	nowhere	nowhere	
S0102	0	0	14	3288	22	400,9611	18,2255	0						KF_001.jpg		0	fkf01	nowhere	
S0102	0	0	15	3456	2	36,83412	18,41706	0						KF_001.jpg		0	fkf01	nowhere	
S0102	0	0	16	3590	2	52,3232	26,1616	0						KF_001.jpg		0	fkf01	nowhere	
S0102	1	1	1	246	42	627,972	14,95172	0						KF_002.jpg		0	lkf2	nowhere	
S0102	1	1	2	438	12	66,72221	5,560184	0						KF_002.jpg		0	nowhere	nowhere	
S0102	1	1	3	684	78	1211,12	15,52718	0						KF_002.jpg		0	nowhere	nowhere	
S0102	1	1	4	870	14	157,495	11,24964	0						KF_002.jpg		0	fkf2	nowhere	
S0102	1	1	5	1308	2	20,92422	10,46211	0						KF_002.jpg		0	fkf2	nowhere	
S0102	1	1	6	1710	42	435,6165	10,37182	0						KF_002.jpg		0	nowhere	nowhere	
